event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds,Bet365_under_odds,Betfair_Exchange_over_odds,Betfair_Exchange_under_odds,Over RPD,Under RPD,bf_team_name_home,bf_team_name_away,bf_merge_key,marketId,line,total_volume,event,kickoff,hours_until_KO
61300797,Aston Villa,Arsenal FC,England - Premier League,2025-12-06 20:30:00+08:00,2025-12-06 21:31:36.992163+08:00,,,2.21,1.81,,,Aston Villa,Arsenal,Aston Villa v Arsenal,1.251156061,Over/Under 2.5 Goals,565829.180978,Aston Villa v Arsenal,2025-12-06T12:30:00.000Z,-1.0269422675
61300795,AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.615,2.3,1.66,2.47,2.748,7.128,Bournemouth,Chelsea,Bournemouth v Chelsea,1.2511562,Over/Under 2.5 Goals,10579.118278000002,Bournemouth v Chelsea,2025-12-06T15:00:00.000Z,1.4730577325
61300801,Everton FC,Nottingham Forest,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,2.1,1.727,2.26,1.76,7.339,1.893,Everton,Nottm Forest,Everton v Nottm Forest,1.251156617,Over/Under 2.5 Goals,8600.069974,Everton v Nottm Forest,2025-12-06T15:00:00.000Z,1.4730577325
61300809,Newcastle United,Burnley FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.666,2.2,1.72,2.32,3.19,5.31,Newcastle,Burnley,Newcastle v Burnley,1.251156478,Over/Under 2.5 Goals,7271.388246,Newcastle v Burnley,2025-12-06T15:00:00.000Z,1.4730577325
61300807,Manchester City,Sunderland AFC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.533,2.5,1.56,2.72,1.746,8.429,Man City,Sunderland,Man City v Sunderland,1.251155783,Over/Under 2.5 Goals,11697.262098,Man City v Sunderland,2025-12-06T15:00:00.000Z,1.4730577325
61300811,Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.909,1.909,2.02,1.96,5.65,2.636,Tottenham,Brentford,Tottenham v Brentford,1.251157034,Over/Under 2.5 Goals,55877.756652,Tottenham v Brentford,2025-12-06T15:00:00.000Z,1.4730577325
61300805,Leeds United,Liverpool FC,England - Premier League,2025-12-07 01:30:00+08:00,2025-12-06 21:31:36.992163+08:00,1.8,2.0,1.86,2.12,3.279,5.825,Leeds,Liverpool,Leeds v Liverpool,1.251156895,Over/Under 2.5 Goals,16239.648584,Leeds v Liverpool,2025-12-06T17:30:00.000Z,3.9730577324999996
61300799,Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.615,2.300,1.67,2.44,3.349,5.907,Brighton,West Ham,Brighton v West Ham,1.251155922,Over/Under 2.5 Goals,785.8529199999998,Brighton v West Ham,2025-12-07T14:00:00.000Z,24.37347116361111
61300803,Fulham FC,Crystal Palace,England - Premier League,2025-12-08 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,2.000,1.800,2.17,1.84,8.153,2.198,Fulham,Crystal Palace,Fulham v Crystal Palace,1.251156339,Over/Under 2.5 Goals,4451.0516640000005,Fulham v Crystal Palace,2025-12-07T16:30:00.000Z,26.87347116361111
64618978,Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.666,2.200,1.76,2.26,5.487,2.691,Wolves,Man Utd,Wolves v Man Utd,1.251156756,Over/Under 2.5 Goals,1157.4766220000001,Wolves v Man Utd,2025-12-08T20:00:00.000Z,54.37347116361111
61300825,Liverpool FC,Brighton & Hove Albion,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.571,2.375,1.47,2.23,1.0,1.0,Liverpool,Brighton,Liverpool v Brighton,1.251327349,Over/Under 2.5 Goals,0.0,Liverpool v Brighton,2025-12-13T15:00:00.000Z,169.3734711636111
61300821,Chelsea FC,Everton FC,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.909,1.909,1.72,1.81,1.0,1.0,Chelsea,Everton,Chelsea v Everton,1.251327210,Over/Under 2.5 Goals,0.0,Chelsea v Everton,2025-12-13T15:00:00.000Z,169.3734711636111
61300819,Burnley FC,Fulham FC,England - Premier League,2025-12-14 01:30:00+08:00,2025-12-06 21:37:35.503811+08:00,2.000,1.800,2.17,1.69,8.153,1.0,Burnley,Fulham,Burnley v Fulham,1.251327071,Over/Under 2.5 Goals,21.985409999999998,Burnley v Fulham,2025-12-13T17:30:00.000Z,171.8734711636111
61300815,Arsenal FC,Wolverhampton Wanderers,England - Premier League,2025-12-14 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.666,2.200,1.66,2.03,1.0,1.0,Arsenal,Wolves,Arsenal v Wolves,1.251326289,Over/Under 2.5 Goals,0.0,Arsenal v Wolves,2025-12-13T20:00:00.000Z,174.3734711636111
61300829,Nottingham Forest,Tottenham Hotspur,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.909,1.909,1.73,1.96,1.0,2.636,Nottm Forest,Tottenham,Nottm Forest v Tottenham,1.251326716,Over/Under 2.5 Goals,0.0,Nottm Forest v Tottenham,2025-12-14T14:00:00.000Z,192.3734711636111
61300823,Crystal Palace,Manchester City,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.727,2.100,1.05,1.25,1.0,1.0,Crystal Palace,Man City,Crystal Palace v Man City,1.251326431,Over/Under 2.5 Goals,0.0,Crystal Palace v Man City,2025-12-14T14:00:00.000Z,192.3734711636111
61300833,West Ham United,Aston Villa,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.800,2.000,1.66,1.88,1.0,1.0,West Ham,Aston Villa,West Ham v Aston Villa,1.251325890,Over/Under 2.5 Goals,0.0,West Ham v Aston Villa,2025-12-14T14:00:00.000Z,192.3734711636111
61300831,Sunderland AFC,Newcastle United,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.909,1.909,1.80,1.73,1.0,1.0,Sunderland,Newcastle,Sunderland v Newcastle,1.251326147,Over/Under 2.5 Goals,0.0,Sunderland v Newcastle,2025-12-14T14:00:00.000Z,192.3734711636111
61300817,Brentford FC,Leeds United,England - Premier League,2025-12-15 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,1.909,1.909,1.76,1.92,1.0,1.0,Brentford,Leeds,Brentford v Leeds,1.251325626,Over/Under 2.5 Goals,0.0,Brentford v Leeds,2025-12-14T16:30:00.000Z,194.8734711636111
65586346,Manchester United,AFC Bournemouth,England - Premier League,2025-12-16 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.571,2.375,1.48,2.20,1.0,1.0,Man Utd,Bournemouth,Man Utd v Bournemouth,1.251326573,Over/Under 2.5 Goals,0.0,Man Utd v Bournemouth,2025-12-15T20:00:00.000Z,222.3734711636111
